X,Y,Z
126.0,0.0,0.7777000069618225
127.0,0.0,0.7509999871253967
128.0,0.0,0.7347999811172485
129.0,0.0,0.7221999764442444
130.0,0.0,0.7192000150680542
131.0,0.0,0.7032999992370605
132.0,0.0,0.6852999925613403
133.0,0.0,0.6707000136375427
134.0,0.0,0.6933000087738037
135.0,0.0,0.6933000087738037
136.0,0.0,0.6945000290870667
137.0,0.0,0.6848000288009644
138.0,0.0,0.6959999799728394
139.0,0.0,0.6812000274658203
140.0,0.0,0.6845999956130981
141.0,0.0,0.6650000214576721
142.0,0.0,0.6482999920845032
143.0,0.0,0.6851999759674072
144.0,0.0,0.6983000040054321
145.0,0.0,0.6797999739646912
146.0,0.0,0.6998000144958496
147.0,0.0,0.7064999938011169
148.0,0.0,0.7332000136375427
149.0,0.0,0.7224000096321106
150.0,0.0,0.7321000099182129
151.0,0.0,0.705299973487854
152.0,0.0,0.6984999775886536
153.0,0.0,0.6995999813079834
154.0,0.0,0.6876999735832214
155.0,0.0,0.6890000104904175
156.0,0.0,0.7009000182151794
157.0,0.0,0.6313999891281128
177.0,0.0,0.741599977016449
178.0,0.0,0.7355999946594238
179.0,0.0,0.7551000118255615
180.0,0.0,0.7462999820709229
181.0,0.0,0.753600001335144
182.0,0.0,0.7387999892234802
183.0,0.0,0.7742999792098999
184.0,0.0,0.7523000240325928
185.0,0.0,0.7562999725341797
186.0,0.0,0.7470999956130981
187.0,0.0,0.7411999702453613
188.0,0.0,0.714900016784668
189.0,0.0,0.6929000020027161
190.0,0.0,0.7269999980926514
191.0,0.0,0.7426000237464905
192.0,0.0,0.7310000061988831
193.0,0.0,0.7386999726295471
199.0,0.0,0.7531999945640564
200.0,0.0,0.7455000281333923
201.0,0.0,0.7483000159263611
202.0,0.0,0.7414000034332275
203.0,0.0,0.7421000003814697
204.0,0.0,0.7526000142097473
205.0,0.0,0.746999979019165
206.0,0.0,0.7465000152587891
207.0,0.0,0.7540000081062317
208.0,0.0,0.7444999814033508
209.0,0.0,0.7592999935150146
220.0,0.0,0.756600022315979
221.0,0.0,0.7533000111579895
222.0,0.0,0.7530999779701233
223.0,0.0,0.7527999877929688
224.0,0.0,0.757099986076355
225.0,0.0,0.7563999891281128
226.0,0.0,0.753000020980835
227.0,0.0,0.751800000667572
228.0,0.0,0.7490000128746033
229.0,0.0,0.7608000040054321
230.0,0.0,0.7609000205993652
231.0,0.0,0.7613000273704529
232.0,0.0,0.7473000288009644
233.0,0.0,0.7512000203132629
234.0,0.0,0.7479000091552734
235.0,0.0,0.7432000041007996
236.0,0.0,0.7555000185966492
237.0,0.0,0.7465999722480774
238.0,0.0,0.8245000243186951
239.0,0.0,0.7527999877929688
240.0,0.0,0.7454000115394592
241.0,0.0,0.7402999997138977
242.0,0.0,0.7418000102043152
243.0,0.0,0.7523999810218811
244.0,0.0,0.7527999877929688
245.0,0.0,0.757099986076355
246.0,0.0,0.755299985408783
247.0,0.0,0.763700008392334
248.0,0.0,0.7590000033378601
249.0,0.0,0.7552000284194946
250.0,0.0,0.7821000218391418
251.0,0.0,0.7720000147819519
252.0,0.0,0.7789999842643738
253.0,0.0,0.765999972820282
254.0,0.0,0.8062000274658203
255.0,0.0,0.7730000019073486
284.0,0.0,-1.6547000408172607
286.0,0.0,-1.4502999782562256
287.0,0.0,-1.4204000234603882
289.0,0.0,-1.2079999446868896
290.0,0.0,-1.0490000247955322
291.0,0.0,-1.0363999605178833
292.0,0.0,-0.9474999904632568
295.0,0.0,-0.890999972820282
296.0,0.0,-0.8956999778747559
298.0,0.0,-0.8913999795913696
299.0,0.0,-0.9368000030517578
300.0,0.0,-0.8963000178337097
301.0,0.0,-0.9818999767303467
302.0,0.0,-0.9506000280380249
303.0,0.0,-0.9769999980926514
304.0,0.0,-0.9919999837875366
322.0,0.0,0.8792999982833862
323.0,0.0,0.7949000000953674
324.0,0.0,0.8125
325.0,0.0,0.8039000034332275
326.0,0.0,0.7803999781608582
327.0,0.0,0.7760999798774719
328.0,0.0,0.7803999781608582
329.0,0.0,0.7803999781608582
330.0,0.0,0.7576000094413757
331.0,0.0,0.7613000273704529
332.0,0.0,0.7937999963760376
333.0,0.0,0.7944999933242798
334.0,0.0,0.7839999794960022
335.0,0.0,0.8180000185966492
336.0,0.0,0.8190000057220459
337.0,0.0,0.836899995803833
338.0,0.0,0.832099974155426
339.0,0.0,0.8158000111579895
340.0,0.0,0.8468999862670898
341.0,0.0,0.8924000263214111
342.0,0.0,0.8215000033378601
345.0,0.0,0.6827999949455261
346.0,0.0,0.666700005531311
347.0,0.0,0.6581000089645386
348.0,0.0,0.6690000295639038
349.0,0.0,0.6654999852180481
350.0,0.0,0.6743000149726868
351.0,0.0,0.6549999713897705
352.0,0.0,0.6758999824523926
353.0,0.0,0.6793000102043152
354.0,0.0,0.6854000091552734
356.0,0.0,0.8112000226974487
357.0,0.0,0.8102999925613403
358.0,0.0,0.8134999871253967
359.0,0.0,0.8050000071525574
360.0,0.0,0.8083999752998352
361.0,0.0,0.8223000168800354
362.0,0.0,0.8205000162124634
363.0,0.0,0.826200008392334
364.0,0.0,0.817799985408783
365.0,0.0,0.8104000091552734
366.0,0.0,0.810699999332428
367.0,0.0,0.8130999803543091
368.0,0.0,0.8116999864578247
369.0,0.0,0.8259000182151794
370.0,0.0,0.8080000281333923
371.0,0.0,0.8169999718666077
372.0,0.0,0.8166000247001648
373.0,0.0,0.8187999725341797
374.0,0.0,0.8095999956130981
375.0,0.0,0.8101000189781189
376.0,0.0,0.8201000094413757
377.0,0.0,0.8201000094413757
378.0,0.0,0.8084999918937683
379.0,0.0,0.8245999813079834
380.0,0.0,0.822700023651123
381.0,0.0,0.8222000002861023
382.0,0.0,0.8037999868392944
383.0,0.0,0.8209999799728394
384.0,0.0,0.8116999864578247
385.0,0.0,0.8197000026702881
386.0,0.0,0.8159999847412109
387.0,0.0,0.8079000115394592
388.0,0.0,0.8202000260353088
389.0,0.0,0.8065000176429749
390.0,0.0,0.809499979019165
391.0,0.0,0.8144999742507935
392.0,0.0,0.8023999929428101
393.0,0.0,0.801800012588501
394.0,0.0,0.8032000064849854
395.0,0.0,0.808899998664856
396.0,0.0,0.7973999977111816
397.0,0.0,0.7967000007629395
398.0,0.0,0.7940999865531921
401.0,0.0,-1.8518999814987183
402.0,0.0,-1.8200000524520874
406.0,0.0,-1.6670000553131104
407.0,0.0,-1.7352999448776245
408.0,0.0,-1.6923999786376953
409.0,0.0,-1.738700032234192
410.0,0.0,-1.7209999561309814
